X var,Y var,MIC (strength),MIC-p^2 (nonlinearity),MAS (non-monotonicity),MEV (functionality),MCN (complexity),Linear regression (p)
"rate","Low_Income_10",0.61332,0.56215674,0.42295998,0.58235,5.9068904,-0.226193
"rate","Birth_Rate_10",0.58389,0.4979212,0.28868002,0.58389,5.7548876,-0.2932044
"rate","Green_Rate_11",0.56935,0.5387632,0.416,0.56935,5.70044,0.17489079
"rate","Green_Rate_13",0.56422,0.5349011,0.41959,0.56422,5.807355,0.17122766
"rate","Unemploy_Rate_13",0.52076,0.50526524,0.42352998,0.52076,5.4594316,-0.124477975
"rate","Unemploy_Rate_12",0.52015,0.45219952,0.39448,0.52015,5.4594316,-0.26067317
"rate","Disasters_10",0.45272,0.4424248,0.20809999,0.45272,5.3923173,-0.10146522
"rate","Unemploy_Rate_14",0.43731,0.42839444,0.34884,0.43731,5.4594316,-0.094422236
"rate","Disasters_11",0.42073,0.38816613,0.23166,0.42073,5.087463,-0.18045457
"rate","Price_Rates_10",0.41893,0.39336452,0.17431,0.41893,5.3923173,-0.1598921
"rate","Disasters_13",0.3995,0.38130483,0.10429001,0.3995,5.0,-0.13488953
"rate","Price_Rates_14",0.39465,0.37817228,0.22931,0.39465,4.5849624,0.12836558
"rate","Disasters_12",0.38736,0.37453696,0.2563,0.38736,4.9068904,-0.11323886
"rate","Price_Rates_11",0.37312,0.35729608,0.12850001,0.37312,5.0,-0.12579323
"rate","Price_Rates_13",0.32843,0.30768758,0.17508,0.32843,4.807355,-0.14402233
"rate","Unemploy_Rate_10",0.22774,0.19503295,0.10185,0.20545,5.491853,-0.18085092
"rate","Unemploy_Rate_11",0.21025,0.15423268,0.11804,0.21025,5.4594316,-0.2366798
"rate","Price_Rates_12",0.20614,0.20484397,0.11784,0.20614,4.70044,0.036000296
"rate","orgGDP",0.14091,0.14068884,0.09183,0.13716,5.9068904,-0.014871608
"rate","fromCode",0.13771,0.1340203,0.088630006,0.13416,5.9068904,0.060742937
